date;type;place;venue;title;comments;
30.11.2018;Workshop;Leipzig, Germany;International NTZ-Workshop on New Developments in Computational Physics;Extending the dynamic range by an ensemble of neural networks
15.10.2018;Workshop;Dresden, Germany;Stochastic dynamics on large networks: Prediction and inference;Homeostatic plasticity and external input shape neural network dynamics
28.09.2018;Conference;Berlin, Germany;Bernstein Conference;Homeostatic plasticity and external input explain difference in neural spiking activity in vitro and in vivo
20.03.2018;Invited Talk;Coventry, UK;ARMC, Coventry University;Diversity of dynamic states in neural networks induced by homeostatic plasticity
12.03.2018;Invited Talk;Berkeley, USA;UCL Berkeley;Population dynamics of driven branching processes
08.03.2018;Conference;Los Angeles, USA;APS March Meeting;Diversity of dynamic states in neural networks induced by homeostatic plasticity
30.11.2017;Workshop;Leipzig, Germany;International NTZ-Workshop on New Developments in Computational Physics;Diversity of dynamic states in neural networks induced by homeostatic plasticity
05.10.2017;Invited Talk;Mainz, Germany;University Mainz;(Grand-)canonical free energy barriers
07.07.2017;Invited Talk;Leipzig, Germany;Leipzig University;Homeostatic plasticity in neural networks induces a diverse range of dynamic states
24.11.2016;Conference;Leipzig, Germany;International NTZ-Workshop on New Developments in Computational Physics;Canonical free-energy barrier of particle and polymer cluster formation
09.03.2016;Conference;Regensburg, Germany;DPG Frühjahrstagung;Finite-size scaling of free-energy barrier in droplet formation and nucleation-like processes
24.02.2016;Workshop;Athens, Georgia, USA;Annual CSP Workshop;Exploring different regimes in finite-size scaling of the droplet condensation-evaporation transition
26.11.2015;Workshop;Leipzig, Germany;International NTZ-Workshop on New Developments in Computational Physics;Exploring different regimes in finite-size scaling of the droplet condensation-evaporation transition
18.03.2015;Conference;Berlin, Germany;DPG Frühjahrstagung;The role of stiffness in polymer aggregation: Leading from amorphous aggregates to polymer bundles
27.11.2014;Workshop;Leipzig, Germany;International NTZ-Workshop on New Developments in Computational Physics;Aggregation of semiflexible polymers under constraints
21.08.2013;Conference;Moscow, Russia;XXV IUPAP Conference on Computational Physics;Application of the parallel multicanonical method to lattice gas condensation
11.03.2013;Conference;Regensburg, Germany;DPG Frühjahrstagung;Simulations of aggregation in homopolymer systems
30.11.2012;Workshop;Leipzig, Germany;International NTZ-Workshop on New Developments in Computational Physics;Scaling properties of a parallel implementation of the multicanonical algorithm
